book_id_title,book_id,book_title,year_first_published,authorlink,author,genres,num_ratings,num_reviews,average_rating
6322517-oh-whistle-and-i-ll-come-to-you-my-lad,6322517,"Oh, Whistle, and I'll Come to You, My Lad",1904,https://www.goodreads.com/author/show/2995925.M_R_James,M.R. James,"['Horror', 'Short Stories', 'Classics', 'Fiction', 'Gothic', 'Audiobook', 'Ghosts', '...more']","1,536",186,3.67
2156.Persuasion,2156,Persuasion,1817,https://www.goodreads.com/author/show/1265.Jane_Austen,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', '19th Century', '...more']","643,461","28,267",4.15
472966.The_Vampyre,472966,The Vampyre,1819,https://www.goodreads.com/author/show/26932.John_William_Polidori,John William Polidori,"['Horror', 'Classics', 'Gothic', 'Vampires', 'Fiction', 'Short Stories', 'Fantasy', '...more']","10,095","1,182",3.3
50398.Northanger_Abbey,50398,Northanger Abbey,1817,https://www.goodreads.com/author/show/1265.Jane_Austen,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Historical Fiction', 'Literature', '19th Century', '...more']","367,857","18,047",3.84
59808294-secrets-of-the-nile,59808294,Secrets of the Nile,2022,https://www.goodreads.com/author/show/167047.Tasha_Alexander,Tasha Alexander,"['Mystery', 'Historical Fiction', 'Historical Mystery', 'Historical', 'Egypt', 'Fiction', 'Cozy Mystery', '...more']","1,051",216,3.94
34994369-the-valancourt-book-of-victorian-christmas-ghost-stories,34994369,The Valancourt Book of Victorian Christmas Ghost Stories: Volume Two,2017,https://www.goodreads.com/author/show/1395582.Allen_Grove,Allen Grove,"['Horror', 'Short Stories', 'Christmas', 'Classics', 'Gothic', 'Anthologies', 'Fiction', '...more']",173,41,4.06
139888.Barry_Lyndon,139888,Barry Lyndon,1844,https://www.goodreads.com/author/show/3953.William_Makepeace_Thackeray,William Makepeace Thackeray,"['Classics', 'Fiction', 'Historical Fiction', '19th Century', 'British Literature', 'Novels', 'Literature', '...more']","2,302",220,3.64
51497.The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde_and_Other_Tales_of_Terror,51497,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,1886,https://www.goodreads.com/author/show/854076.Robert_Louis_Stevenson,Robert Louis Stevenson,"['Classics', 'Horror', 'Fiction', 'Gothic', 'Science Fiction', 'Short Stories', 'Fantasy', '...more']","122,088","2,261",3.94
254308.Oblomov,254308,Oblomov,1859,https://www.goodreads.com/author/show/5326370.Ivan_Goncharov,Ivan Goncharov,"['Classics', 'Fiction', 'Russia', 'Russian Literature', 'Literature', '19th Century', 'Novels', '...more']","35,812","1,595",4.11
50815147-queens-of-the-abyss,50815147,Queens of the Abyss: Lost Stories from the Women of the Weird,2020,https://www.goodreads.com/author/show/28064.Mike_Ashley,Mike Ashley,"['Horror', 'Short Stories', 'Fiction', 'Fantasy', 'Anthologies', 'Gothic', 'Classics', '...more']",280,51,3.79
87635.Confessions_of_an_English_Opium_Eater,87635,Confessions of an English Opium Eater,1821,https://www.goodreads.com/author/show/50325.Thomas_de_Quincey,Thomas de Quincey,"['Classics', 'Nonfiction', 'Biography', 'Memoir', '19th Century', 'Literature', 'Autobiography', '...more']","9,314",790,3.28
18386.The_Death_of_Ivan_Ilych,18386,The Death of Ivan Ilych,1886,https://www.goodreads.com/author/show/128382.Leo_Tolstoy,Leo Tolstoy,"['Classics', 'Fiction', 'Russia', 'Russian Literature', 'Literature', 'Short Stories', 'Philosophy', '...more']","135,504","9,300",4.12
