,id,title,author
236,https://www.goodreads.com/book/show/34058.Plain_Tales_from_the_Hills,Plain Tales from the Hills,Rudyard Kipling
237,https://www.goodreads.com/book/show/28409.The_Masterpiece,The Masterpiece,Émile Zola
238,https://www.goodreads.com/book/show/922862.A_House_to_Let,A House to Let,Charles Dickens
239,https://www.goodreads.com/book/show/194366.The_Return_of_Sherlock_Holmes,"The Return of Sherlock Holmes (Sherlock Holmes, #6)",Arthur Conan Doyle
240,https://www.goodreads.com/book/show/45685.The_Canterville_Ghost,The Canterville Ghost,Oscar Wilde
241,https://www.goodreads.com/book/show/180617.Pinocchio,Pinocchio,Carlo Collodi
242,https://www.goodreads.com/book/show/45793.The_Murders_in_the_Rue_Morgue,"The Murders in the Rue Morgue: The Dupin Tales (C. Auguste Dupin, #1-3)",Edgar Allan Poe
243,https://www.goodreads.com/book/show/391729.The_Tell_Tale_Heart_and_Other_Writings,The Tell-Tale Heart and Other Writings,Edgar Allan Poe
244,https://www.goodreads.com/book/show/433567.Flatland,Flatland: A Romance of Many Dimensions,Edwin A. Abbott
245,https://www.goodreads.com/book/show/280455.The_Gentle_Spirit,The Gentle Spirit,Fyodor Dostoevsky
246,https://www.goodreads.com/book/show/773534.Belinda,Belinda,Maria Edgeworth
247,https://www.goodreads.com/book/show/275247.Little_Lord_Fauntleroy,Little Lord Fauntleroy,Frances Hodgson Burnett
248,https://www.goodreads.com/book/show/782188.Misericordia,Misericordia,Benito Pérez Galdós
249,https://www.goodreads.com/book/show/223175.The_Master_of_Ballantrae,The Master of Ballantrae,Robert Louis Stevenson
250,https://www.goodreads.com/book/show/682681.She,"She: A History of Adventure (She, #1)",H. Rider Haggard
251,https://www.goodreads.com/book/show/1008335.The_Crime_of_Father_Amaro,The Crime of Father Amaro,Eça de Queirós
252,https://www.goodreads.com/book/show/467111.The_Hand_of_Ethelberta,The Hand of Ethelberta,Thomas Hardy
253,https://www.goodreads.com/book/show/267104.He_Knew_He_Was_Right,He Knew He Was Right,Anthony Trollope
254,https://www.goodreads.com/book/show/616052.On_the_Eve,On the Eve,Ivan Turgenev
255,https://www.goodreads.com/book/show/47059.The_Marble_Faun,The Marble Faun,Nathaniel Hawthorne
256,https://www.goodreads.com/book/show/550655.La_mare_au_diable,La mare au diable,George Sand
257,https://www.goodreads.com/book/show/42573.The_Water_Babies,The Water Babies,Charles Kingsley
258,https://www.goodreads.com/book/show/777108.Armadale,Armadale,Wilkie Collins
259,https://www.goodreads.com/book/show/543686.Rob_Roy,Rob Roy,Walter Scott
260,https://www.goodreads.com/book/show/149789.The_Last_Chronicle_of_Barset,The Last Chronicle of Barset (Chronicles of Barsetshire #6),Anthony Trollope
261,https://www.goodreads.com/book/show/16902.Walden,Walden,Henry David Thoreau
